student_id,city,age,gender,platform_usage_months,subscription_plan,monthly_logins,avg_study_session_minutes,monthly_study_minutes,engagement_level,subscription_renewed
STUDENT-000049,Veles,25.0,,14.0,Monthly,4.0,65.0,275.0,Moderate,1
STUDENT-000050,Veles,23.0,Male,12.0,Quarterly,5.0,51.0,266.0,,0
STUDENT-000051,Bitola,22.0,Male,21.0,Annually,,74.0,603.0,Moderate,1
STUDENT-000052,Ohrid,28.0,Male,15.0,Monthly,12.0,45.0,548.0,Moderate,1
STUDENT-000053,Prilep,27.0,Female,6.0,Annually,2.0,50.0,60.0,High,0
STUDENT-000054,Prilep,,Female,16.0,Monthly,8.0,57.0,491.0,Moderate,1
STUDENT-000055,Skopje,27.0,,24.0,Monthly,5.0,64.0,278.0,Moderate,1
STUDENT-000056,Tetovo,28.0,Female,17.0,Annually,6.0,55.0,,,1
STUDENT-000057,Bitola,18.0,Female,3.0,Quarterly,4.0,,352.0,Moderate,0
STUDENT-000058,Kumanovo,22.0,Female,31.0,Quarterly,,64.0,,Moderate,1
STUDENT-000059,Kumanovo,,Male,1.0,Quarterly,7.0,61.0,463.0,,1
STUDENT-000060,Stip,25.0,Male,14.0,Quarterly,9.0,63.0,,,1
STUDENT-000061,Kumanovo,24.0,Male,,Monthly,4.0,70.0,,Moderate,1
STUDENT-000062,Ohrid,31.0,Male,,Quarterly,4.0,63.0,,High,0
STUDENT-000063,Stip,32.0,Male,26.0,Annually,4.0,,,High,0
STUDENT-000064,Prilep,26.0,Male,33.0,Quarterly,5.0,76.0,415.0,Moderate,1
STUDENT-000065,Ohrid,21.0,Female,,Annually,5.0,61.0,431.0,Moderate,1
STUDENT-000066,Stip,27.0,Male,27.0,Annually,4.0,70.0,288.0,Moderate,1
STUDENT-000067,Ohrid,21.0,Female,22.0,Monthly,7.0,,388.0,High,1
STUDENT-000068,Skopje,24.0,Female,1.0,Monthly,6.0,32.0,214.0,High,1
STUDENT-000069,,30.0,Female,,Quarterly,7.0,,221.0,Moderate,0
STUDENT-000070,Veles,21.0,Female,2.0,Monthly,9.0,,546.0,Moderate,1
STUDENT-000071,Bitola,29.0,Male,25.0,Quarterly,,67.0,83.0,Moderate,0
STUDENT-000072,Prilep,29.0,Female,24.0,Monthly,9.0,79.0,652.0,Moderate,1
STUDENT-000073,Bitola,19.0,Male,23.0,Annually,7.0,64.0,428.0,Moderate,0
STUDENT-000074,Kumanovo,30.0,Female,14.0,Monthly,7.0,44.0,412.0,Moderate,1
STUDENT-000075,Prilep,29.0,Male,29.0,Quarterly,,,349.0,Moderate,1
STUDENT-000076,Ohrid,,Male,1.0,Monthly,7.0,,,Moderate,1
STUDENT-000077,Bitola,20.0,Female,19.0,Quarterly,9.0,,424.0,Moderate,1
STUDENT-000078,Tetovo,19.0,Female,13.0,Monthly,8.0,91.0,774.0,High,1
STUDENT-000079,Kumanovo,21.0,Male,11.0,Monthly,4.0,,413.0,High,1
STUDENT-000080,Stip,28.0,Female,25.0,Quarterly,3.0,92.0,361.0,High,1
STUDENT-000081,,19.0,Male,32.0,Monthly,,65.0,278.0,,1
STUDENT-000082,Bitola,27.0,Female,15.0,Quarterly,5.0,54.0,242.0,Moderate,0
STUDENT-000083,Veles,,Male,29.0,Monthly,3.0,65.0,203.0,Moderate,0
STUDENT-000084,Kumanovo,23.0,Male,,Monthly,10.0,,709.0,,1
STUDENT-000085,Kumanovo,25.0,Male,9.0,Monthly,4.0,50.0,351.0,Moderate,1
STUDENT-000086,Skopje,39.0,Male,16.0,Annually,8.0,,312.0,High,0
STUDENT-000087,,18.0,Male,16.0,Annually,5.0,55.0,303.0,Moderate,0
STUDENT-000088,Veles,33.0,Male,11.0,Monthly,3.0,48.0,53.0,High,0
STUDENT-000089,Veles,25.0,Male,25.0,Monthly,10.0,78.0,,Moderate,1
STUDENT-000090,Prilep,27.0,Male,22.0,Monthly,5.0,50.0,,,1
STUDENT-000091,Veles,25.0,Female,1.0,Quarterly,5.0,61.0,345.0,High,0
STUDENT-000092,Veles,27.0,Male,1.0,Monthly,7.0,,560.0,Moderate,1
STUDENT-000093,Prilep,24.0,Female,25.0,Monthly,6.0,79.0,,,1
STUDENT-000094,Stip,33.0,Female,10.0,Monthly,8.0,63.0,584.0,Moderate,1
STUDENT-000095,Ohrid,22.0,Male,23.0,Monthly,5.0,65.0,321.0,Moderate,1
STUDENT-000096,Bitola,31.0,Female,29.0,Monthly,1.0,44.0,0.0,Moderate,0
STUDENT-000097,Kumanovo,21.0,Male,4.0,Monthly,2.0,75.0,100.0,Moderate,0
STUDENT-000098,Kumanovo,24.0,Male,,Quarterly,3.0,78.0,252.0,Moderate,1
STUDENT-000099,Bitola,18.0,Female,40.0,Monthly,,31.0,195.0,Moderate,0
STUDENT-000100,Veles,27.0,Female,24.0,Monthly,,86.0,,Moderate,1
STUDENT-000101,Bitola,33.0,Female,14.0,Quarterly,3.0,49.0,,Moderate,1
STUDENT-000102,Veles,24.0,Male,,Quarterly,7.0,,,Moderate,1
STUDENT-000103,,23.0,Female,13.0,Annually,9.0,61.0,460.0,High,0
STUDENT-000104,Veles,18.0,Male,5.0,Annually,6.0,59.0,318.0,Moderate,0
STUDENT-000105,Veles,23.0,Male,30.0,Monthly,,56.0,271.0,High,1
STUDENT-000106,Veles,,Male,,Annually,,45.0,167.0,,1
STUDENT-000107,Kumanovo,19.0,Female,33.0,Quarterly,5.0,67.0,409.0,Moderate,1
STUDENT-000108,Prilep,26.0,Male,15.0,Quarterly,3.0,55.0,147.0,High,1
STUDENT-000109,,32.0,Female,7.0,Monthly,1.0,40.0,46.0,High,1
STUDENT-000110,Ohrid,41.0,Female,14.0,Monthly,6.0,44.0,303.0,Moderate,0
STUDENT-000111,Veles,21.0,Female,1.0,Monthly,6.0,40.0,219.0,Moderate,1
STUDENT-000112,,33.0,,18.0,Monthly,7.0,52.0,386.0,Moderate,1
STUDENT-000113,Prilep,26.0,Female,17.0,Quarterly,5.0,67.0,350.0,,1
STUDENT-000114,Tetovo,24.0,Male,29.0,Monthly,10.0,,422.0,,1
STUDENT-000115,Tetovo,27.0,Male,1.0,Quarterly,7.0,74.0,490.0,Moderate,1
STUDENT-000116,Skopje,25.0,Female,33.0,Monthly,5.0,58.0,,Moderate,1
STUDENT-000117,Bitola,25.0,Male,29.0,Monthly,4.0,55.0,296.0,Moderate,1
STUDENT-000118,Bitola,22.0,Male,35.0,Quarterly,5.0,60.0,376.0,Moderate,1
STUDENT-000119,Skopje,18.0,Male,19.0,Quarterly,6.0,80.0,605.0,Moderate,1
STUDENT-000120,Prilep,18.0,Male,32.0,Annually,7.0,39.0,,,1
STUDENT-000121,Kumanovo,28.0,,2.0,Quarterly,,84.0,311.0,Moderate,1
STUDENT-000122,Kumanovo,23.0,Male,28.0,Quarterly,8.0,74.0,,Moderate,1
STUDENT-000123,Prilep,21.0,Female,10.0,Annually,,59.0,,Moderate,1
STUDENT-000124,Veles,25.0,Male,1.0,Monthly,2.0,77.0,129.0,,0
STUDENT-000125,,29.0,,6.0,Quarterly,5.0,,,,0
STUDENT-000126,Skopje,26.0,Female,20.0,Quarterly,5.0,64.0,345.0,Very High,1
STUDENT-000127,Veles,21.0,Male,10.0,Monthly,3.0,51.0,82.0,Low,0
STUDENT-000128,Tetovo,32.0,Female,24.0,Monthly,8.0,74.0,657.0,Moderate,1
STUDENT-000129,Kumanovo,34.0,Female,1.0,Monthly,,49.0,,,1
STUDENT-000130,Tetovo,27.0,,1.0,Monthly,5.0,59.0,,High,1
STUDENT-000131,Tetovo,30.0,Male,36.0,Quarterly,,70.0,418.0,High,0
STUDENT-000132,Skopje,32.0,Male,30.0,Monthly,4.0,75.0,,Moderate,1
STUDENT-000133,Tetovo,31.0,Male,7.0,Quarterly,5.0,,,Moderate,0
STUDENT-000134,Veles,28.0,Female,19.0,Monthly,4.0,71.0,402.0,,1
STUDENT-000135,Ohrid,28.0,Female,32.0,Monthly,11.0,45.0,,Very High,1
STUDENT-000136,Tetovo,28.0,Female,25.0,Monthly,3.0,,0.0,Moderate,0
STUDENT-000137,Skopje,18.0,,21.0,Monthly,8.0,48.0,,Low,0
STUDENT-000138,,29.0,Female,33.0,Annually,4.0,72.0,,Moderate,1
STUDENT-000139,Prilep,18.0,Female,11.0,Monthly,5.0,59.0,245.0,Moderate,1
STUDENT-000140,Stip,20.0,Male,20.0,Monthly,7.0,51.0,394.0,High,1
STUDENT-000141,Bitola,,Female,19.0,Monthly,7.0,60.0,,Moderate,0
STUDENT-000142,Ohrid,,Male,16.0,Monthly,,60.0,,Moderate,1
STUDENT-000143,Prilep,33.0,Male,15.0,Quarterly,4.0,69.0,206.0,High,0
STUDENT-000144,Stip,23.0,Female,20.0,Annually,5.0,35.0,226.0,Moderate,0
STUDENT-000145,Veles,18.0,Female,20.0,Monthly,10.0,58.0,478.0,Moderate,0
STUDENT-000146,Skopje,23.0,Male,7.0,Quarterly,,61.0,323.0,,1
STUDENT-000147,Bitola,25.0,Female,29.0,Quarterly,5.0,39.0,166.0,High,0
STUDENT-000148,Veles,25.0,Male,8.0,Annually,3.0,,208.0,Moderate,1
STUDENT-000149,Skopje,31.0,Male,17.0,Quarterly,3.0,54.0,111.0,High,1
STUDENT-000150,Veles,22.0,Male,16.0,Monthly,6.0,60.0,475.0,Moderate,1
STUDENT-000151,Ohrid,27.0,Female,24.0,Monthly,4.0,60.0,182.0,Moderate,0
STUDENT-000152,Stip,19.0,Female,,Annually,5.0,51.0,147.0,Moderate,0
STUDENT-000153,Ohrid,27.0,,30.0,Quarterly,5.0,51.0,257.0,,1
STUDENT-000154,Prilep,25.0,Male,11.0,Annually,7.0,54.0,,Moderate,1
STUDENT-000155,Kumanovo,20.0,Male,34.0,Monthly,8.0,64.0,,Moderate,1
STUDENT-000156,Bitola,23.0,Male,14.0,Monthly,6.0,78.0,537.0,High,1
STUDENT-000157,,23.0,Female,19.0,Annually,6.0,30.0,228.0,Moderate,0
STUDENT-000158,Tetovo,23.0,Female,42.0,Quarterly,2.0,69.0,88.0,Moderate,0
STUDENT-000159,Veles,35.0,Female,16.0,Quarterly,4.0,,277.0,Moderate,1
STUDENT-000160,Stip,24.0,Male,34.0,Quarterly,2.0,67.0,,High,1
STUDENT-000161,Kumanovo,23.0,Female,,Annually,9.0,77.0,,High,1
STUDENT-000162,Prilep,18.0,,24.0,Quarterly,5.0,48.0,250.0,Moderate,0
STUDENT-000163,,19.0,Male,,Quarterly,1.0,74.0,70.0,High,1
STUDENT-000164,Prilep,23.0,Female,30.0,Monthly,4.0,,248.0,Moderate,1
STUDENT-000165,Veles,20.0,Female,11.0,Monthly,9.0,61.0,518.0,,1
STUDENT-000166,,33.0,Female,,Annually,5.0,56.0,246.0,High,0
STUDENT-000167,Bitola,24.0,Female,12.0,Quarterly,6.0,60.0,,Moderate,1
STUDENT-000168,Ohrid,32.0,Female,21.0,Monthly,1.0,,158.0,Moderate,0
STUDENT-000169,Skopje,25.0,,17.0,Monthly,4.0,66.0,,Low,1
STUDENT-000170,Skopje,25.0,Male,28.0,Annually,7.0,83.0,658.0,Moderate,1
STUDENT-000171,,24.0,Male,35.0,Quarterly,7.0,45.0,253.0,Moderate,1
STUDENT-000172,Veles,25.0,Male,8.0,Monthly,6.0,62.0,402.0,Moderate,0
STUDENT-000173,Kumanovo,35.0,Male,11.0,Quarterly,6.0,72.0,447.0,Moderate,1
STUDENT-000174,,18.0,Male,2.0,Monthly,6.0,55.0,404.0,High,0
STUDENT-000175,Prilep,18.0,Male,44.0,Monthly,,80.0,545.0,Moderate,1
STUDENT-000176,,21.0,,23.0,Quarterly,6.0,,,Moderate,0
STUDENT-000177,Bitola,25.0,Female,25.0,Annually,8.0,58.0,431.0,Moderate,1
STUDENT-000178,Stip,29.0,Female,3.0,Monthly,2.0,45.0,187.0,High,0
STUDENT-000179,Tetovo,27.0,,19.0,Annually,11.0,61.0,632.0,Moderate,1
STUDENT-000180,Stip,22.0,,26.0,Annually,2.0,60.0,,Moderate,0
STUDENT-000181,Bitola,31.0,Male,,Monthly,7.0,69.0,371.0,Moderate,1
STUDENT-000182,,,Male,32.0,Monthly,8.0,50.0,,Moderate,1
STUDENT-000183,Kumanovo,26.0,Male,47.0,Quarterly,9.0,49.0,476.0,Moderate,1
STUDENT-000184,Prilep,30.0,Male,8.0,Annually,,66.0,792.0,Moderate,1
STUDENT-000185,Prilep,,Male,7.0,Monthly,6.0,80.0,,,0
STUDENT-000186,Bitola,21.0,Female,9.0,Monthly,1.0,69.0,22.0,Moderate,0
STUDENT-000187,Prilep,29.0,Female,,Quarterly,6.0,87.0,527.0,Moderate,1
STUDENT-000188,Bitola,25.0,,32.0,Quarterly,,68.0,,,1
STUDENT-000189,Ohrid,,Male,18.0,Quarterly,7.0,67.0,421.0,Moderate,1
STUDENT-000190,Kumanovo,33.0,Female,20.0,Monthly,,,,Moderate,1
STUDENT-000191,Kumanovo,18.0,Female,10.0,Monthly,7.0,82.0,558.0,Moderate,1
STUDENT-000192,Tetovo,18.0,,30.0,Monthly,,78.0,312.0,Moderate,1
STUDENT-000193,Ohrid,18.0,Female,15.0,Annually,,43.0,223.0,High,1
STUDENT-000194,Stip,22.0,Female,16.0,Annually,5.0,72.0,,Moderate,1
STUDENT-000195,Skopje,23.0,Male,27.0,Annually,5.0,,320.0,Moderate,0
STUDENT-000196,Ohrid,18.0,Male,17.0,Monthly,8.0,57.0,431.0,Moderate,0
STUDENT-000197,Skopje,19.0,Female,17.0,Quarterly,5.0,33.0,221.0,Moderate,1
STUDENT-000198,Ohrid,19.0,Male,20.0,Monthly,3.0,36.0,38.0,High,0
STUDENT-000199,Stip,39.0,Male,29.0,Monthly,,54.0,257.0,Moderate,1
STUDENT-000200,Ohrid,35.0,Male,39.0,Monthly,5.0,38.0,,,0
STUDENT-000201,Stip,22.0,,27.0,Annually,,,318.0,High,0
STUDENT-000202,Prilep,22.0,Male,29.0,Monthly,5.0,70.0,315.0,Very High,1
STUDENT-000203,,,Male,17.0,Quarterly,5.0,51.0,266.0,Moderate,0
STUDENT-000204,,18.0,Male,11.0,Annually,5.0,,231.0,Moderate,1
STUDENT-000205,Ohrid,24.0,Female,27.0,Quarterly,12.0,43.0,579.0,High,1
STUDENT-000206,Veles,19.0,Female,22.0,Monthly,5.0,64.0,359.0,Moderate,0
STUDENT-000207,Stip,24.0,Female,2.0,Annually,1.0,67.0,68.0,Moderate,1
STUDENT-000208,Ohrid,18.0,Male,16.0,Quarterly,7.0,38.0,,,1
STUDENT-000209,Veles,20.0,Male,19.0,Quarterly,6.0,48.0,204.0,Moderate,1
STUDENT-000210,Ohrid,25.0,Female,13.0,Quarterly,7.0,40.0,,High,0
STUDENT-000211,Kumanovo,27.0,,37.0,Annually,9.0,67.0,,Moderate,1
STUDENT-000212,Veles,27.0,Female,25.0,Quarterly,7.0,62.0,464.0,Moderate,1
STUDENT-000213,Prilep,18.0,Female,36.0,Quarterly,6.0,59.0,387.0,Moderate,1
STUDENT-000214,Kumanovo,30.0,Male,,Quarterly,6.0,,,Moderate,0
STUDENT-000215,Ohrid,20.0,Female,20.0,Monthly,8.0,64.0,556.0,Moderate,1
STUDENT-000216,Skopje,28.0,Female,8.0,Annually,,65.0,,Moderate,1
STUDENT-000217,Skopje,24.0,Male,20.0,Monthly,8.0,52.0,,High,1
STUDENT-000218,Prilep,18.0,Female,20.0,Monthly,7.0,50.0,368.0,Moderate,1
STUDENT-000219,Stip,23.0,Male,3.0,Monthly,8.0,59.0,,High,1
STUDENT-000220,Bitola,27.0,Female,13.0,Monthly,7.0,57.0,391.0,Moderate,1
STUDENT-000221,Prilep,28.0,Male,16.0,Monthly,10.0,90.0,,Moderate,1
STUDENT-000222,Kumanovo,24.0,Male,24.0,Quarterly,,54.0,372.0,Moderate,1
STUDENT-000223,,34.0,Female,25.0,Monthly,,,,High,1
STUDENT-000224,,31.0,Male,13.0,Monthly,9.0,66.0,,Moderate,1
STUDENT-000225,Ohrid,23.0,Male,25.0,Annually,6.0,81.0,458.0,Low,1
STUDENT-000226,Veles,,Female,17.0,Annually,8.0,47.0,322.0,High,1
STUDENT-000227,,36.0,Male,1.0,Quarterly,2.0,80.0,,Moderate,0
STUDENT-000228,Tetovo,36.0,Male,,Monthly,6.0,57.0,,Moderate,1
STUDENT-000229,Bitola,18.0,Male,32.0,Monthly,9.0,97.0,976.0,Moderate,1
STUDENT-000230,Prilep,19.0,Male,1.0,Monthly,,65.0,307.0,Low,1
STUDENT-000231,Veles,33.0,Male,21.0,Monthly,,41.0,474.0,Moderate,1
STUDENT-000232,Skopje,18.0,Female,39.0,Annually,10.0,,,Moderate,1
STUDENT-000233,,18.0,Female,10.0,Quarterly,4.0,80.0,,Moderate,0
STUDENT-000234,Prilep,22.0,Male,20.0,Monthly,3.0,61.0,78.0,High,0
STUDENT-000235,Kumanovo,27.0,Female,4.0,Annually,8.0,59.0,457.0,Moderate,1
STUDENT-000236,Kumanovo,24.0,Female,,Monthly,9.0,70.0,679.0,Moderate,1
STUDENT-000237,Prilep,21.0,Female,19.0,Monthly,6.0,54.0,,,1
STUDENT-000238,,20.0,Female,20.0,Monthly,4.0,56.0,50.0,Moderate,0
STUDENT-000239,Kumanovo,20.0,Female,36.0,Monthly,9.0,45.0,425.0,High,1
STUDENT-000240,Bitola,19.0,Female,27.0,Monthly,6.0,85.0,507.0,Moderate,1
STUDENT-000241,Tetovo,38.0,Female,9.0,Monthly,6.0,41.0,332.0,High,0
STUDENT-000242,Skopje,26.0,Female,,Quarterly,9.0,62.0,,High,1
STUDENT-000243,Kumanovo,30.0,,25.0,Monthly,,,262.0,Moderate,0
STUDENT-000244,Kumanovo,22.0,Male,12.0,Monthly,7.0,59.0,454.0,Moderate,1
STUDENT-000245,Skopje,23.0,Female,,Quarterly,5.0,41.0,267.0,Moderate,1
STUDENT-000246,,20.0,Male,19.0,Quarterly,7.0,45.0,,Moderate,0
STUDENT-000247,,18.0,Male,2.0,Monthly,6.0,67.0,458.0,,1
STUDENT-000248,Veles,18.0,Male,39.0,Annually,7.0,48.0,,High,1
STUDENT-000249,,18.0,Male,,Quarterly,4.0,30.0,120.0,High,0
STUDENT-000250,Bitola,18.0,,9.0,Monthly,3.0,65.0,235.0,Moderate,1
STUDENT-000251,Prilep,18.0,Female,11.0,Annually,8.0,46.0,418.0,Moderate,1
STUDENT-000252,Bitola,32.0,,1.0,Monthly,10.0,69.0,709.0,Moderate,1
STUDENT-000253,Ohrid,,Male,6.0,Monthly,,56.0,271.0,High,1
STUDENT-000254,,32.0,Male,32.0,Quarterly,1.0,,0.0,Moderate,0
STUDENT-000255,,27.0,,46.0,Monthly,8.0,60.0,,High,1
STUDENT-000256,Kumanovo,29.0,Female,28.0,Quarterly,,42.0,,Moderate,1
STUDENT-000257,Skopje,,Female,18.0,Monthly,5.0,47.0,261.0,High,0
STUDENT-000258,Bitola,28.0,Female,14.0,Monthly,6.0,56.0,350.0,Moderate,0
STUDENT-000259,Tetovo,29.0,Female,8.0,Monthly,3.0,42.0,125.0,Moderate,0
STUDENT-000260,Veles,21.0,Female,44.0,Monthly,,,298.0,High,1
STUDENT-000261,Bitola,28.0,Female,17.0,Annually,11.0,55.0,,Moderate,1
STUDENT-000262,Ohrid,,Female,45.0,Quarterly,8.0,38.0,,High,1
STUDENT-000263,Stip,21.0,Male,,Quarterly,6.0,51.0,356.0,High,1
STUDENT-000264,Stip,18.0,,1.0,Monthly,13.0,,771.0,Moderate,1
STUDENT-000265,Tetovo,18.0,Female,12.0,Quarterly,11.0,53.0,609.0,High,0
STUDENT-000266,Prilep,25.0,Male,,Monthly,10.0,65.0,547.0,Moderate,1
STUDENT-000267,Ohrid,26.0,Male,19.0,Monthly,6.0,68.0,418.0,High,0
STUDENT-000268,,20.0,Female,19.0,Quarterly,3.0,96.0,280.0,,1
STUDENT-000269,Tetovo,25.0,Female,55.0,Quarterly,7.0,77.0,,Moderate,1
STUDENT-000270,Ohrid,28.0,Male,7.0,Annually,,35.0,303.0,Moderate,0
STUDENT-000271,Skopje,28.0,Male,22.0,Annually,11.0,54.0,646.0,Moderate,1
STUDENT-000272,Bitola,34.0,Male,27.0,Annually,10.0,56.0,536.0,Moderate,1
STUDENT-000273,,32.0,Female,19.0,Monthly,5.0,68.0,202.0,Moderate,0
STUDENT-000274,Prilep,18.0,Male,21.0,Monthly,12.0,45.0,,Moderate,1
STUDENT-000275,Prilep,35.0,Female,7.0,Monthly,6.0,52.0,323.0,Moderate,0
STUDENT-000276,Prilep,21.0,Female,21.0,Annually,6.0,41.0,255.0,High,1
STUDENT-000277,Veles,31.0,Female,26.0,Annually,5.0,50.0,259.0,Moderate,0
STUDENT-000278,Skopje,25.0,Female,23.0,Annually,7.0,51.0,,Moderate,0
STUDENT-000279,Skopje,22.0,Male,,Monthly,6.0,55.0,310.0,Moderate,1
STUDENT-000280,Ohrid,18.0,,36.0,Annually,11.0,42.0,394.0,Moderate,1
STUDENT-000281,,23.0,,31.0,Quarterly,4.0,74.0,176.0,Moderate,0
STUDENT-000282,Kumanovo,18.0,Male,20.0,Annually,3.0,67.0,194.0,Moderate,1
STUDENT-000283,Prilep,30.0,Male,5.0,Quarterly,,38.0,221.0,Moderate,1
STUDENT-000284,Prilep,34.0,Male,12.0,Monthly,,60.0,364.0,Moderate,0
STUDENT-000285,Stip,20.0,,,Monthly,8.0,36.0,157.0,Moderate,0
STUDENT-000286,Bitola,26.0,Male,23.0,Annually,4.0,80.0,,High,0
STUDENT-000287,,20.0,Female,14.0,Monthly,4.0,84.0,463.0,Moderate,1
STUDENT-000288,Tetovo,21.0,Female,8.0,Monthly,,,579.0,High,1
STUDENT-000289,Prilep,29.0,Female,5.0,Monthly,3.0,47.0,140.0,Moderate,0
STUDENT-000290,Veles,24.0,Female,1.0,Monthly,3.0,50.0,175.0,High,0
STUDENT-000291,Ohrid,35.0,Male,17.0,Annually,,53.0,189.0,Moderate,1
STUDENT-000292,Stip,22.0,Female,,Monthly,6.0,58.0,323.0,,0
STUDENT-000293,Ohrid,30.0,Female,7.0,Monthly,,,419.0,Moderate,0
STUDENT-000294,Tetovo,25.0,Male,15.0,Annually,9.0,74.0,705.0,High,1
STUDENT-000295,Tetovo,29.0,Female,3.0,Monthly,2.0,74.0,33.0,Moderate,1
STUDENT-000296,Veles,22.0,Male,24.0,Monthly,5.0,62.0,,Moderate,1
STUDENT-000297,Prilep,24.0,Male,28.0,Monthly,7.0,42.0,270.0,Moderate,1
STUDENT-000298,,24.0,Male,13.0,Monthly,3.0,48.0,,Moderate,0
STUDENT-000299,Skopje,19.0,Male,14.0,Monthly,3.0,,148.0,Moderate,0
STUDENT-000300,Ohrid,28.0,Male,,Monthly,,41.0,372.0,High,1
STUDENT-000301,,28.0,Female,11.0,Monthly,2.0,64.0,142.0,Moderate,1
STUDENT-000302,Skopje,28.0,Female,10.0,Quarterly,7.0,72.0,484.0,Moderate,0
STUDENT-000303,Stip,34.0,Male,,Annually,6.0,68.0,387.0,Very High,1
STUDENT-000304,,33.0,Female,30.0,Monthly,8.0,67.0,527.0,High,1
STUDENT-000305,Bitola,22.0,Male,27.0,Monthly,,32.0,,Moderate,0
